 +0.83, +0.10, -0.70, +1.13, +0.36, -0.10, -0.71, +0.83, +0.25, -0.12, -0.68, +0.52, +0.09, -0.12, -0.65, +0.51, +0.03, -0.18, -0.64, +0.50, +0.11, -0.05, -0.64, +0.72, +0.24, +0.01, -0.48, +0.91, +0.53, +0.10, -0.39, +1.65
 +0.18, +0.20, -0.00, +1.15, +0.04, -0.05, -0.04, +0.84, +0.04, -0.09, -0.10, +0.57, -0.10, -0.21, -0.17, +0.57, -0.13, -0.18, -0.24, +0.57, -0.01, -0.10, -0.18, +0.77, +0.10, -0.11, -0.04, +1.00, +0.23, +0.08, +0.24, +1.52
 +0.45, -0.09, -0.82, +0.91, +0.18, -0.12, -0.64, +0.63, -0.00, -0.12, -0.63, +0.47, +0.03, -0.18, -0.62, +0.40, -0.03, -0.24, -0.58, +0.42, +0.03, -0.19, -0.63, +0.61, +0.18, -0.13, -0.67, +0.73, +0.25, -0.01, -0.52, +1.13
 +0.13, -0.03, -0.13, +0.92, +0.10, -0.05, -0.23, +0.65, -0.08, -0.18, -0.18, +0.47, -0.16, -0.21, -0.21, +0.45, -0.18, -0.23, -0.23, +0.47, -0.11, -0.24, -0.20, +0.62, -0.05, -0.13, -0.14, +0.78, +0.16, -0.01, +0.00, +1.22
 +0.17, -0.17, -0.53, +0.73, +0.14, -0.18, -0.54, +0.48, -0.08, -0.18, -0.61, +0.31, -0.07, -0.26, -0.53, +0.26, -0.06, -0.24, -0.68, +0.25, -0.07, -0.29, -0.62, +0.37, +0.04, -0.16, -0.49, +0.54, +0.31, -0.07, -0.34, +0.94
 +0.04, +0.05, -0.03, +0.85, -0.08, -0.21, -0.15, +0.56, -0.13, -0.20, -0.25, +0.32, -0.15, -0.26, -0.26, +0.33, -0.20, -0.27, -0.34, +0.33, -0.14, -0.25, -0.28, +0.47, -0.08, -0.18, -0.12, +0.65, +0.07, -0.01, +0.09, +1.02
 +0.33, -0.05, -0.80, +0.76, -0.02, -0.16, -0.66, +0.39, -0.04, -0.18, -0.69, +0.27, -0.06, -0.25, -0.66, +0.23, -0.09, -0.33, -0.66, +0.29, -0.11, -0.23, -0.61, +0.40, +0.04, -0.20, -0.58, +0.50, +0.14, -0.17, -0.50, +0.82
 +0.16, -0.07, -0.19, +0.81, -0.12, -0.11, -0.24, +0.45, -0.15, -0.26, -0.27, +0.29, -0.17, -0.28, -0.30, +0.32, -0.21, -0.28, -0.31, +0.29, -0.28, -0.27, -0.22, +0.43, -0.11, -0.18, -0.15, +0.65, +0.03, -0.06, +0.02, +0.91
 +0.16, -0.12, -0.75, +0.67, +0.05, -0.26, -0.65, +0.44, -0.11, -0.27, -0.64, +0.22, -0.15, -0.29, -0.65, +0.22, -0.16, -0.36, -0.64, +0.19, -0.19, -0.28, -0.60, +0.28, +0.01, -0.20, -0.60, +0.52, +0.14, -0.20, -0.45, +0.79
 +0.02, +0.02, -0.19, +0.63, -0.07, -0.21, -0.21, +0.51, -0.15, -0.26, -0.34, +0.23, -0.22, -0.33, -0.36, +0.19, -0.30, -0.33, -0.32, +0.21, -0.22, -0.26, -0.32, +0.34, -0.12, -0.26, -0.17, +0.61, -0.06, -0.13, +0.03, +0.93
 +0.09, -0.19, -0.69, +0.56, -0.05, -0.21, -0.68, +0.31, -0.14, -0.31, -0.63, +0.18, -0.18, -0.33, -0.62, +0.10, -0.15, -0.28, -0.69, +0.18, -0.19, -0.28, -0.62, +0.22, -0.06, -0.20, -0.56, +0.47, +0.16, -0.18, -0.34, +0.68
 -0.03, -0.01, -0.18, +0.65, -0.22, -0.19, -0.31, +0.34, -0.25, -0.23, -0.37, +0.19, -0.26, -0.34, -0.31, +0.18, -0.26, -0.31, -0.36, +0.21, -0.24, -0.25, -0.29, +0.25, -0.17, -0.19, -0.19, +0.56, -0.07, -0.10, -0.06, +0.84
 +0.20, -0.13, -0.69, +0.67, +0.03, -0.26, -0.72, +0.42, -0.05, -0.31, -0.70, +0.21, -0.20, -0.35, -0.71, +0.10, -0.18, -0.38, -0.66, +0.13, -0.17, -0.29, -0.67, +0.24, +0.02, -0.27, -0.58, +0.49, +0.11, -0.21, -0.54, +0.85
 -0.03, -0.06, -0.15, +0.79, -0.16, -0.15, -0.25, +0.51, -0.20, -0.20, -0.32, +0.27, -0.26, -0.31, -0.31, +0.23, -0.24, -0.33, -0.34, +0.18, -0.19, -0.28, -0.24, +0.34, -0.11, -0.20, -0.16, +0.53, -0.04, -0.09, -0.09, +0.95
 +0.27, -0.06, -0.70, +0.68, +0.06, -0.24, -0.65, +0.41, -0.17, -0.33, -0.69, +0.31, -0.11, -0.34, -0.69, +0.24, -0.18, -0.33, -0.68, +0.17, -0.15, -0.29, -0.61, +0.30, -0.03, -0.27, -0.58, +0.50, +0.15, -0.12, -0.51, +0.78
 +0.04, -0.13, -0.19, +0.84, -0.04, -0.15, -0.14, +0.56, -0.15, -0.25, -0.32, +0.33, -0.26, -0.31, -0.29, +0.21, -0.29, -0.30, -0.33, +0.28, -0.20, -0.21, -0.28, +0.37, -0.07, -0.21, -0.21, +0.63, +0.03, -0.15, +0.06, +0.97
 +0.23, -0.14, -0.63, +0.75, -0.02, -0.28, -0.48, +0.37, -0.09, -0.20, -0.51, +0.28, -0.22, -0.33, -0.61, +0.18, -0.13, -0.27, -0.63, +0.27, -0.14, -0.34, -0.58, +0.29, +0.05, -0.23, -0.58, +0.52, +0.15, -0.12, -0.45, +0.87
 -0.07, -0.03, -0.20, +0.72, -0.25, -0.20, -0.06, +0.48, -0.19, -0.17, -0.21, +0.35, -0.25, -0.31, -0.26, +0.26, -0.21, -0.24, -0.29, +0.30, -0.21, -0.25, -0.21, +0.38, -0.05, -0.21, -0.14, +0.63, -0.07, -0.12, -0.01, +0.92
 +0.26, -0.07, -0.61, +0.84, +0.13, -0.18, -0.66, +0.57, -0.09, -0.26, -0.71, +0.34, -0.05, -0.27, -0.59, +0.35, -0.11, -0.28, -0.59, +0.35, -0.04, -0.25, -0.63, +0.40, +0.08, -0.15, -0.61, +0.65, +0.18, -0.15, -0.50, +0.92
 -0.04, -0.00, +0.13, +0.90, -0.09, -0.07, -0.15, +0.70, -0.11, -0.17, -0.24, +0.40, -0.20, -0.21, -0.23, +0.38, -0.21, -0.26, -0.20, +0.42, -0.14, -0.18, -0.20, +0.58, -0.08, -0.13, -0.05, +0.82, +0.05, -0.16, +0.01, +1.05
 +0.30, -0.17, -0.72, +0.87, +0.16, -0.17, -0.60, +0.64, +0.11, -0.16, -0.62, +0.45, -0.04, -0.26, -0.64, +0.45, +0.00, -0.24, -0.62, +0.43, -0.12, -0.19, -0.62, +0.56, +0.04, -0.21, -0.61, +0.85, +0.32, -0.11, -0.66, +1.05
 +0.18, +0.04, -0.11, +0.98, -0.04, -0.00, -0.16, +0.76, -0.11, -0.08, -0.14, +0.57, -0.09, -0.21, -0.24, +0.50, -0.07, -0.20, -0.18, +0.53, -0.13, -0.20, -0.21, +0.64, -0.03, -0.15, +0.01, +0.98, -0.00, -0.01, +0.06, +1.24
 +0.52, +0.03, -0.62, +1.10, +0.11, -0.08, -0.43, +0.70, +0.10, -0.13, -0.51, +0.62, -0.05, -0.22, -0.51, +0.49, +0.07, -0.28, -0.66, +0.54, +0.00, -0.17, -0.67, +0.62, +0.15, -0.17, -0.38, +0.93, +0.28, -0.04, -0.23, +1.34
 +0.29, +0.03, -0.02, +1.29, -0.06, -0.05, +0.04, +0.87, -0.06, -0.10, -0.03, +0.70, -0.09, -0.14, -0.06, +0.61, -0.08, -0.21, -0.10, +0.63, -0.16, -0.20, -0.13, +0.84, +0.04, -0.05, +0.16, +1.17, +0.21, -0.03, +0.32, +1.70
